Code,Product,Value_2023,Trade_Balance_2023,Growth_2019_2023,Growth_2022_2023,World_Growth,World_Import_Rank,Avg_Distance_km,Concentration,World_Import_Share,Avg_Tariff,Country,Direction
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",12048155,-11532351,21,-20,19,45,4532,0.13,,,MAR,Import
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",7251097,463462,11,20,7,47,5307,0.12,,,MAR,Import
87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",6533065,1439361,8,19,8,49,3168,0.1,,,MAR,Import
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",6359432,-5835816,4,12,6,54,4290,0.11,,,MAR,Import
10,Cereals,2996813,-2996557,19,-19,13,18,4338,0.13,,,MAR,Import
39,Plastics and articles thereof,2993322,-2629953,10,0,6,42,3801,0.08,,,MAR,Import
72,Iron and steel,1806444,-1727799,8,-7,12,48,3550,0.1,,,MAR,Import
88,"Aircraft, spacecraft, and parts thereof",1708156,-445877,7,11,-3,27,5212,0.43,,,MAR,Import
73,Articles of iron or steel,1471242,-1177583,13,20,9,47,4185,0.15,,,MAR,Import
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1219102,141600,29,-54,17,36,5483,0.16,,,MAR,Import
17,Sugars and sugar confectionery,1052812,-619862,25,28,15,20,6733,0.89,,,MAR,Import
23,Residues and waste from the food industries; prepared animal fodder,1024480,-791675,13,25,11,32,5803,0.2,,,MAR,Import
55,Man-made staple fibres,1016104,-961746,10,-4,3,10,5436,0.17,,,MAR,Import
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",997084,-936219,11,19,4,56,5590,0.1,,,MAR,Import
74,Copper and articles thereof,985932,-774850,16,10,12,38,1606,0.37,,,MAR,Import
76,Aluminium and articles thereof,973273,-753132,19,-8,12,40,4610,0.11,,,MAR,Import
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",968913,-615682,19,-12,17,33,4152,0.16,,,MAR,Import
30,Pharmaceutical products,944565,-790469,9,7,10,69,3684,0.09,,,MAR,Import
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",871258,210584,15,-55,14,19,5495,0.23,,,MAR,Import
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",869286,-736491,8,-23,5,47,2909,0.08,,,MAR,Import
40,Rubber and articles thereof,785115,-620848,10,13,6,49,3911,0.09,,,MAR,Import
60,Knitted or crocheted fabrics,748229,-727536,7,8,4,8,6098,0.27,,,MAR,Import
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",703392,-280086,10,-8,4,48,4224,0.13,,,MAR,Import
99,Commodities not elsewhere specified,670281,-644838,44,-12,8,41,,,,,MAR,Import
38,Miscellaneous chemical products,659286,-627058,4,-2,8,58,3482,0.12,,,MAR,Import
44,Wood and articles of wood; wood charcoal,657194,-606358,9,-3,5,44,3172,0.09,,,MAR,Import
52,Cotton,606050,-568444,9,-4,2,16,4479,0.16,,,MAR,Import
08,Edible fruit and nuts; peel of citrus fruit or melons,604021,1174305,15,15,3,39,5390,0.1,,,MAR,Import
