Code,Product,Value_2023,Trade_Balance_2023,Growth_2019_2023,Growth_2022_2023,World_Growth,World_Import_Rank,Avg_Distance_km,Concentration,World_Import_Share,Avg_Tariff,Country,Direction,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",12048155.0,-11532351.0,21.0,-20.0,19.0,45.0,4532.0,0.13,1.0,4.5,MAR,Import,2.195565819271149,-1.9132734420242197,0.4445756338577826,-0.04453046596829182,-0.7479421353206621,-0.3615634671693303,-1.2694655011201832,0.8382758285572496,0.8379475736880435,-0.6190599142606967
85.0,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",7251097.0,463462.0,11.0,20.0,7.0,47.0,5307.0,0.12,1.0,4.5,MAR,Import,1.2894583113268485,0.12786904824707754,-0.20556045512172635,-0.4948879938885312,-0.42119481845111323,0.45204058181380435,0.579231720800131,-0.6835834270345883,0.977850167271148,-0.3454444451875757
87.0,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",6533065.0,1439361.0,8.0,19.0,8.0,49.0,3168.0,0.1,1.0,4.5,MAR,Import,1.0563163434462721,-0.39867777393459536,-0.10315058807627676,0.20759996839647477,-0.29902516083318037,0.2420145565952719,0.6009838229583908,-1.2797558195341576,0.8848286161546773,-0.7678778039514378
84.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",6359432.0,-5835816.0,4.0,12.0,6.0,54.0,4290.0,0.11,1.0,4.5,MAR,Import,1.0567912889184872,0.10564615784349118,-0.6105909701177574,-0.2504885370840433,-0.15100592753091224,-0.1279942268058119,0.34195268909955684,-0.9664791586074141,0.9246665318174627,-0.6063601450490389
10.0,Cereals,2996813.0,-2996557.0,19.0,-19.0,13.0,18.0,4338.0,0.13,1.0,4.5,MAR,Import,0.8921217992110487,-1.9641148109005389,0.7698713588609034,-0.9293120464331239,0.10754245973841514,-0.2827389030470024,-0.44888693074263714,0.5278221908721239,-0.08873998244405575,-0.43374154635533296
39.0,Plastics and articles thereof,2993322.0,-2629953.0,10.0,0.0,6.0,42.0,3801.0,0.08,1.0,4.5,MAR,Import,0.5817428919828489,-0.9786358774069397,-0.11248033357927122,-0.5669875091866561,0.4092970042292556,-0.45485251417223177,0.37173794660162995,-0.4378433745914838,0.1388430491623148,-0.20453540598374484
72.0,Iron and steel,1806444.0,-1727799.0,8.0,-7.0,12.0,48.0,3550.0,0.1,1.0,4.5,MAR,Import,0.47030422112135517,-0.8665594302236947,0.16322185902556316,-0.07164237770147013,-0.35799173286712044,0.1436269238263589,-0.21594341714525264,-0.8205030376538199,0.9913033938213294,-0.7974874181296135
88.0,"Aircraft, spacecraft, and parts thereof",1708156.0,-445877.0,7.0,11.0,-3.0,27.0,5212.0,0.43,1.0,4.5,MAR,Import,0.4572694050774531,1.795432236340628,-0.23873896496308997,-1.0670925583523485,0.32978464783008987,0.23796568421126255,0.962163206744172,-1.1692947014571076,-0.7598199338875097,-0.5886840592109149
73.0,Articles of iron or steel,1471242.0,-1177583.0,13.0,20.0,9.0,47.0,4185.0,0.15,1.0,4.5,MAR,Import,0.48503386837240514,-0.3232293924547869,0.24114570176069364,-0.35226018828328637,-0.1927685327095556,0.15522468453923977,-0.014439067872857272,-0.8286978452389334,0.7240059528718823,-0.4720795488316319
28.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1219102.0,141600.0,29.0,-54.0,17.0,36.0,5483.0,0.16,1.0,4.5,MAR,Import,0.734301604968306,-1.657321952792372,1.1843524071610254,-0.8181388771516447,-0.5888970021916923,0.40600525207776456,-1.002038818293579,0.5785004689500013,0.49630092501630424,0.00849596831872446
17.0,Sugars and sugar confectionery,1052812.0,-619862.0,25.0,28.0,15.0,20.0,6733.0,0.89,1.0,4.5,MAR,Import,0.5478227538505609,0.5703533667067713,1.9997660481507857,-0.6463323268192823,-0.784302136141606,0.7905758998054334,-1.6769761427746186,1.9497756776399677,-1.9074114688436168,-0.9164255447328219
23.0,Residues and waste from the food industries; prepared animal fodder,1024480.0,-791675.0,13.0,25.0,11.0,32.0,5803.0,0.2,1.0,4.5,MAR,Import,0.44052213862887313,-1.0000284445634506,0.5280300713022352,-1.0763027951015236,-0.0077465652092781855,0.0647281401447095,-0.2662412419378268,0.7906353849918535,0.07253096614160828,-0.21059528191260074
55.0,Man-made staple fibres,1016104.0,-961746.0,10.0,-4.0,3.0,10.0,5436.0,0.17,1.0,4.5,MAR,Import,0.595198686808912,-0.04248544352391718,0.029437717461971658,-1.6328749965756792,0.39079472841801793,0.050387649398565985,0.6637381492539481,-0.5112659864587362,-0.10885403117180009,-0.46347044359970396
90.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",997084.0,-936219.0,11.0,19.0,4.0,56.0,5590.0,0.1,1.0,4.5,MAR,Import,0.39086853808015676,0.5788266146998952,-0.3266989171443057,-0.8488157754972939,-0.08532437306207126,0.27520373319024694,0.5024917098612822,-1.057948029029562,1.0180116566091186,0.04275662559950756
74.0,Copper and articles thereof,985932.0,-774850.0,16.0,10.0,12.0,38.0,1606.0,0.37,1.0,4.5,MAR,Import,0.3924233752957358,-0.51769314767805,1.004833502907837,0.6205109160117407,-0.31578711177435026,0.11413972459475992,-0.5590677476847261,-1.2905732769370832,-0.14682803629205882,-1.3617898621992466
