Component_PC,Component_Descriptive,ExplainedVarianceRatio
PC1,Overall_Trade_Scale_and_Market_Share,0.17869550335419743
PC2,Trade_Profile_and_Market_Orientation,0.13335225955622307
PC3,Growth_and_Competitiveness,0.10559642186450546
PC4,Global_Position_and_Logistics_Factor,0.09877762034078207
PC5,Tariff_and_Trade_Policy_Impact,0.09343400855228275
PC6,Distance_Adjusted_Growth_Effect,0.0908668574781549
PC7,Regional_Concentration_Dynamics,0.08209556815739702
PC8,Market_Share_Sensitivity,0.07616139723126994
PC9,Policy_Driven_Trade_Variation,0.06369362194392256
PC10,Tariff_Residual_Effect,0.057449121252717776
