Product,KMeans_Cluster
"Aircraft, spacecraft, and parts thereof",0
Albuminoidal substances; modified starches; glues; enzymes,0
Aluminium and articles thereof,0
"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",0
Arms and ammunition; parts and accessories thereof,0
"Articles of apparel and clothing accessories, knitted or crocheted",0
"Articles of apparel and clothing accessories, not knitted or crocheted",0
Articles of iron or steel,0
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",0
"Articles of stone, plaster, cement, asbestos, mica or similar materials",0
"Beverages, spirits and vinegar",0
Carpets and other textile floor coverings,0
Ceramic products,0
Cereals,0
Clocks and watches and parts thereof,0
Cocoa and cocoa preparations,0
"Coffee, tea, maté and spices",0
Commodities not elsewhere specified,1
Copper and articles thereof,0
Cork and articles of cork,0
Cotton,0
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",0
Edible fruit and nuts; peel of citrus fruit or melons,0
Edible vegetables and certain roots and tubers,0
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",0
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0
Fertilisers,0
"Fish and crustaceans, molluscs and other aquatic invertebrates",0
"Footwear, gaiters and the like; parts of such articles",0
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",0
Furskins and artificial fur; manufactures thereof,0
Glass and glassware,0
Headgear and parts thereof,0
"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",0
"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",0
Iron and steel,0
Knitted or crocheted fabrics,0
"Lac; gums, resins and other vegetable saps and extracts",0
Lead and articles thereof,0
Live animals,0
"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0
Man-made filaments; strip and the like of man-made textile materials,0
Man-made staple fibres,0
"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0
Meat and edible meat offal,0
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0
Miscellaneous articles of base metal,0
Miscellaneous chemical products,0
Miscellaneous edible preparations,0
Miscellaneous manufactured articles,0
Musical instruments; parts and accessories of such articles,0
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1
Nickel and articles thereof,0
"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",0
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",0
"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",0
"Ores, slag and ash",0
Organic chemicals,0
Other base metals; cermets; articles thereof,0
Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0
Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0
"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0
Pharmaceutical products,0
Photographic or cinematographic goods,0
Plastics and articles thereof,0
"Preparations of cereals, flour, starch or milk; pastrycooks' products",0
"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",0
"Preparations of vegetables, fruit, nuts or other parts of plants",0
Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",0
"Products of animal origin, not elsewhere specified or included",0
Products of the milling industry; malt; starches; inulin; wheat gluten,0
Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,0
"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",0
Raw hides and skins (other than furskins) and leather,0
Residues and waste from the food industries; prepared animal fodder,0
Rubber and articles thereof,0
"Salt; sulphur; earths and stone; plastering materials, lime and cement",0
"Ships, boats and floating structures",0
Silk,0
"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",0
Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0
Sugars and sugar confectionery,0
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",0
Tin and articles thereof,0
"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0
"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0
"Toys, games and sports requisites; parts and accessories thereof",0
"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0
Vegetable plaiting materials; vegetable products not elsewhere specified or included,0
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0
"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0
Wood and articles of wood; wood charcoal,0
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0
"Works of art, collectors' pieces and antiques",0
Zinc and articles thereof,0
