Country,Year,Forecast_Value,Metric,Model
BHR,2023,19164263.36161091,Total,Linear
DZA,2023,39575144.1119422,Total,Linear
EGY,2023,69440006.25915198,Total,Linear
IRQ,2023,82842243.74258712,Total,Linear
JOR,2023,23229329.07846928,Total,Linear
KSA,2023,223157453.57021138,Total,Linear
KWT,2023,34388733.250425935,Total,Linear
LBN,2023,16173387.950538555,Total,Linear
LBY,2023,21050724.318098333,Total,Linear
MAR,2023,80510266.39310507,Total,Linear
OMN,2023,35683992.59021226,Total,Linear
QAT,2023,35150022.80703108,Total,Linear
SD,2023,9025493.273343574,Total,Linear
UEA,2023,429028542.0144727,Total,Linear
YEM,2023,12936288.858119935,Total,Linear
BHR,2023,197569.72537743207,Average,Linear
DZA,2023,407991.1764117753,Average,Linear
EGY,2023,723333.3985328331,Average,Linear
IRQ,2023,854043.7499235786,Average,Linear
JOR,2023,244519.25345757138,Average,Linear
KSA,2023,2300592.30484754,Average,Linear
KWT,2023,354523.02320026734,Average,Linear
LBN,2023,166735.9582529748,Average,Linear
LBY,2023,217017.77647524053,Average,Linear
MAR,2023,830002.7463206708,Average,Linear
OMN,2023,371708.2561480444,Average,Linear
QAT,2023,362371.3691446503,Average,Linear
SD,2023,94015.55493066223,Average,Linear
UEA,2023,4422974.659943018,Average,Linear
YEM,2023,133363.80266103026,Average,Linear
BHR,2024,21437057.53259127,Total,Linear
DZA,2024,44042717.05674189,Total,Linear
EGY,2024,75812056.45539077,Total,Linear
IRQ,2024,90249338.10437207,Total,Linear
JOR,2024,25901301.83185792,Total,Linear
KSA,2024,239877563.03464156,Total,Linear
KWT,2024,38149879.38533826,Total,Linear
LBN,2024,18446214.83282385,Total,Linear
LBY,2024,24012982.32007238,Total,Linear
MAR,2024,87195410.75159164,Total,Linear
OMN,2024,39606187.46005587,Total,Linear
QAT,2024,38937280.998568945,Total,Linear
SD,2024,10741065.920362752,Total,Linear
UEA,2024,460203299.9130391,Total,Linear
YEM,2024,15238274.476867456,Total,Linear
BHR,2024,221000.59311949761,Average,Linear
DZA,2024,454048.62945094734,Average,Linear
EGY,2024,789708.9214103204,Average,Linear
IRQ,2024,930405.5474677533,Average,Linear
JOR,2024,272645.2824406097,Average,Linear
KSA,2024,2472964.5673674387,Average,Linear
KWT,2024,393297.72562204394,Average,Linear
LBN,2024,190167.16322498815,Average,Linear
LBY,2024,247556.51876363278,Average,Linear
MAR,2024,898921.760325687,Average,Linear
OMN,2024,412564.45270891534,Average,Linear
QAT,2024,401415.26802648394,Average,Linear
SD,2024,111886.103337112,Average,Linear
UEA,2024,4744363.916629269,Average,Linear
YEM,2024,157095.61316358202,Average,Linear
BHR,2025,23932896.76589347,Total,Linear
DZA,2025,49015729.42737254,Total,Linear
EGY,2025,82827412.32648501,Total,Linear
IRQ,2025,98481039.8199236,Total,Linear
JOR,2025,28820022.69825474,Total,Linear
KSA,2025,258326645.15880468,Total,Linear
KWT,2025,42322158.50535707,Total,Linear
LBN,2025,20943077.11112343,Total,Linear
LBY,2025,27242250.325325366,Total,Linear
MAR,2025,94574374.15286691,Total,Linear
OMN,2025,43973835.425755724,Total,Linear
QAT,2025,43100741.69223771,Total,Linear
SD,2025,12701338.497879159,Total,Linear
UEA,2025,493899086.1740591,Total,Linear
YEM,2025,17787077.969751664,Total,Linear
BHR,2025,246730.89449374712,Average,Linear
DZA,2025,505316.79822033545,Average,Linear
EGY,2025,862785.5450675521,Average,Linear
IRQ,2025,1015268.4517517897,Average,Linear
JOR,2025,303368.6599816289,Average,Linear
KSA,2025,2663161.2902969555,Average,Linear
KWT,2025,436310.9124263616,Average,Linear
LBN,2025,215908.01145488073,Average,Linear
LBY,2025,280847.94149819965,Average,Linear
MAR,2025,974993.5479677002,Average,Linear
OMN,2025,458060.7856849555,Average,Linear
QAT,2025,444337.5432189455,Average,Linear
SD,2025,132305.6093529079,Average,Linear
UEA,2025,5091743.156433599,Average,Linear
YEM,2025,183371.93783249139,Average,Linear
BHR,2026,26688456.945072655,Total,Linear
DZA,2026,54574339.440348834,Total,Linear
EGY,2026,90583977.78518604,Total,Linear
IRQ,2026,107655292.46501812,Total,Linear
JOR,2026,32031232.69520892,Total,Linear
KSA,2026,278705732.0548426,Total,Linear
KWT,2026,46972951.73784955,Total,Linear
LBN,2026,23707471.104466584,Total,Linear
LBY,2026,30793504.013782524,Total,Linear
MAR,2026,102742721.868067,Total,Linear
OMN,2026,48856692.6081355,Total,Linear
QAT,2026,47706829.6357208,Total,Linear
SD,2026,14942424.472508237,Total,Linear
UEA,2026,530358957.5226246,Total,Linear
YEM,2026,20630459.330789,Total,Linear
BHR,2026,275138.7313925016,Average,Linear
DZA,2026,562622.0560860705,Average,Linear
EGY,2026,943583.1019290212,Average,Linear
IRQ,2026,1109848.375928022,Average,Linear
JOR,2026,337170.87047588336,Average,Linear
KSA,2026,2873254.9696375523,Average,Linear
KWT,2026,484257.23441082006,Average,Linear
LBN,2026,244406.91860274828,Average,Linear
LBY,2026,317458.80426579923,Average,Linear
MAR,2026,1059203.3182274948,Average,Linear
OMN,2026,508923.8813347448,Average,Linear
QAT,2026,491822.98593526596,Average,Linear
SD,2026,155650.2549219608,Average,Linear
UEA,2026,5467618.118789945,Average,Linear
YEM,2026,212685.14774009277,Average,Linear
BHR,2027,29744650.850979764,Total,Linear
DZA,2027,60809545.58295518,Total,Linear
EGY,2027,99191694.26611768,Total,Linear
IRQ,2027,117907139.52469939,Total,Linear
JOR,2027,35585476.50305762,Total,Linear
KSA,2027,301244778.3982173,Total,Linear
KWT,2027,52178548.78248529,Total,Linear
LBN,2027,26787631.20683088,Total,Linear
LBY,2027,34727055.52587914,Total,Linear
MAR,2027,111808920.1170204,Total,Linear
OMN,2027,54334024.99185834,Total,Linear
QAT,2027,52829887.09589278,Total,Linear
SD,2027,17505993.137560513,Total,Linear
UEA,2027,569848802.2816999,Total,Linear
YEM,2027,23821519.211104628,Total,Linear
BHR,2027,306645.88506164704,Average,Linear
DZA,2027,626902.531783043,Average,Linear
EGY,2027,1033246.8152720592,Average,Linear
IRQ,2027,1215537.5208731897,Average,Linear
JOR,2027,374583.96319008025,Average,Linear
KSA,2027,3105616.2721465705,Average,Linear
KWT,2027,537923.1833245907,Average,Linear
LBN,2027,276161.146462174,Average,Linear
LBY,2027,358010.8817100942,Average,Linear
MAR,2027,1152669.2795569114,Average,Linear
