Country,Direction,Product,Code,Pred_Growth_XGB_%,Potential_Score,World_Growth,World_Import_Share,World_Import_Rank,Avg_Tariff,Avg_Distance_km,Concentration
BHR,Import,"Aircraft, spacecraft, and parts thereof",88,88.52749,,-3,,104.0,,10359.0,0.61
BHR,Import,Raw hides and skins (other than furskins) and leather,41,32.775776,,-1,,108.0,,4282.0,0.48
BHR,Import,Products of the milling industry; malt; starches; inulin; wheat gluten,11,28.702549,,12,,120.0,,2126.0,0.31
BHR,Import,Knitted or crocheted fabrics,60,26.182869,,4,,123.0,,5610.0,0.37
BHR,Import,Nickel and articles thereof,75,20.97344,,16,,69.0,,6923.0,0.19
DZA,Import,Silk,50,2719.7078,,3,,59.0,,5011.0,0.97
DZA,Import,Furskins and artificial fur; manufactures thereof,43,801.73785,,-17,,135.0,,5770.0,0.33
DZA,Import,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,67,236.73656,,8,,66.0,,9458.0,0.99
DZA,Import,Meat and edible meat offal,2,164.13432,,6,,126.0,,6843.0,0.46
DZA,Import,"Products of animal origin, not elsewhere specified or included",5,107.90813,,2,,133.0,,1839.0,0.64
EGY,Import,"Aircraft, spacecraft, and parts thereof",88,83.70792,,-3,,32.0,,6335.0,0.23
EGY,Import,"Works of art, collectors' pieces and antiques",97,78.901405,,3,,81.0,,3432.0,0.89
EGY,Import,Residues and waste from the food industries; prepared animal fodder,23,51.41333,,11,,42.0,,10084.0,0.48
EGY,Import,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",86,31.914501,,8,,21.0,,5425.0,0.26
EGY,Import,"Ships, boats and floating structures",89,25.186197,,3,,59.0,,8037.0,0.55
IRQ,Import,Products of the milling industry; malt; starches; inulin; wheat gluten,11,281.9157,,12,,12.0,,1196.0,0.93
IRQ,Import,Arms and ammunition; parts and accessories thereof,93,145.55032,,11,,58.0,,4381.0,0.45
IRQ,Import,"Aircraft, spacecraft, and parts thereof",88,110.000114,,-3,,59.0,,8415.0,0.58
IRQ,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",12,87.41888,,13,,34.0,,8250.0,0.35
IRQ,Import,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",24,80.66742,,3,,10.0,,1407.0,0.51
JOR,Import,"Ships, boats and floating structures",89,76.44689,,3,,140.0,,9507.0,0.77
JOR,Import,Nickel and articles thereof,75,29.050238,,16,,88.0,,5117.0,0.3
JOR,Import,Cork and articles of cork,45,21.564423,,5,,124.0,,4189.0,0.29
JOR,Import,"Salt; sulphur; earths and stone; plastering materials, lime and cement",25,20.310907,,14,,58.0,,1695.0,0.48
JOR,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,17.957096,,8,,72.0,,7082.0,0.19
KSA,Import,"Works of art, collectors' pieces and antiques",97,1104.6958,,3,,16.0,,3773.0,0.23
KSA,Import,"Ores, slag and ash",26,111.64888,,10,,37.0,,2977.0,0.2
KSA,Import,Cork and articles of cork,45,55.099358,,5,,6.0,,6409.0,0.16
KSA,Import,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",24,42.498924,,3,,22.0,,3520.0,0.31
KSA,Import,"Ships, boats and floating structures",89,36.097404,,3,,2.0,,6555.0,0.27
KWT,Import,"Aircraft, spacecraft, and parts thereof",88,1076.514,,-3,,54.0,,7656.0,0.35
KWT,Import,Furskins and artificial fur; manufactures thereof,43,243.08775,,-17,,57.0,,5330.0,0.34
KWT,Import,Cork and articles of cork,45,37.94501,,5,,58.0,,4669.0,0.18
KWT,Import,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",46,29.969257,,4,,32.0,,5956.0,0.48
KWT,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51,28.730534,,1,,68.0,,3961.0,0.32
LBN,Import,Lead and articles thereof,78,2458.0652,,8,,46.0,,2444.0,0.28
LBN,Import,"Ores, slag and ash",26,409.42795,,10,,174.0,,1191.0,1.0
LBN,Import,Nickel and articles thereof,75,51.398136,,16,,106.0,,4537.0,0.33
LBN,Import,"Preparations of vegetables, fruit, nuts or other parts of plants",20,51.302677,,8,,98.0,,4528.0,0.09
LBN,Import,Arms and ammunition; parts and accessories thereof,93,50.157856,,11,,56.0,,4164.0,0.2
LBY,Import,Raw hides and skins (other than furskins) and leather,41,587.3105,,-1,,146.0,,4476.0,0.42
LBY,Import,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",46,432.995,,4,,59.0,,6827.0,0.43
LBY,Import,"Ships, boats and floating structures",89,355.26312,,3,,83.0,,6908.0,0.44
LBY,Import,Cork and articles of cork,45,266.497,,5,,97.0,,3766.0,0.86
LBY,Import,"Aircraft, spacecraft, and parts thereof",88,178.85776,,-3,,137.0,,3944.0,0.15
MAR,Import,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",86,225.46439,,8,,69.0,,1439.0,0.57
MAR,Import,Live animals,1,183.5937,,4,,24.0,,1831.0,0.48
MAR,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51,123.56647,,1,,16.0,,2420.0,0.53
MAR,Import,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",6,82.074905,,4,,33.0,,1528.0,0.37
MAR,Import,Arms and ammunition; parts and accessories thereof,93,44.05411,,11,,43.0,,4643.0,0.41
OMN,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51,755.499,,1,,131.0,,1205.0,0.46
OMN,Import,"Ships, boats and floating structures",89,108.99837,,3,,80.0,,4751.0,0.35
OMN,Import,Furskins and artificial fur; manufactures thereof,43,106.003296,,-17,,110.0,,7789.0,0.28
OMN,Import,"Aircraft, spacecraft, and parts thereof",88,69.77376,,-3,,62.0,,3390.0,0.2
OMN,Import,"Products of animal origin, not elsewhere specified or included",5,49.57412,,2,,57.0,,1862.0,0.51
QAT,Import,"Aircraft, spacecraft, and parts thereof",88,506.77966,,-3,,28.0,,9593.0,0.4
QAT,Import,Nickel and articles thereof,75,68.49426,,16,,41.0,,5363.0,0.19
QAT,Import,Knitted or crocheted fabrics,60,59.086246,,4,,93.0,,5562.0,0.29
QAT,Import,"Ships, boats and floating structures",89,52.677143,,3,,48.0,,6114.0,0.37
QAT,Import,Lead and articles thereof,78,29.060663,,8,,60.0,,1904.0,0.44
SD,Import,Raw hides and skins (other than furskins) and leather,41,922.3983,,-1,,139.0,,,0.53
SD,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51,154.821,,1,,174.0,,,0.41
SD,Import,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36,27.485336,,10,,69.0,,,0.42
SD,Import,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",59,19.0497,,4,,135.0,,,0.46
SD,Import,Meat and edible meat offal,2,15.292639,,6,,181.0,,,0.33
UEA,Import,"Works of art, collectors' pieces and antiques",97,992.2844,3.659368437540708,3,2.8,8.0,4.5,6429.0,0.14
UEA,Import,Cork and articles of cork,45,39.255287,0.040535032468244254,5,0.4,29.0,4.5,5533.0,0.1
UEA,Import,"Ships, boats and floating structures",89,34.462193,-0.004242602050476435,3,1.4,21.0,0.3,5926.0,0.36
UEA,Import,"Aircraft, spacecraft, and parts thereof",88,32.72343,-0.20878142733156535,-3,1.8,14.0,3.9,8623.0,0.27
UEA,Import,Nickel and articles thereof,75,26.53184,0.32810234149366013,16,0.6,23.0,4.5,6263.0,0.1
YEM,Import,Raw hides and skins (other than furskins) and leather,41,5072.137,,-1,,121.0,,4346.0,0.95
YEM,Import,Silk,50,1728.5991,,3,,134.0,,2161.0,0.9
YEM,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51,468.70706,,1,,136.0,,6402.0,0.53
YEM,Import,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",24,339.37604,,3,,33.0,,2450.0,0.62
YEM,Import,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",49,315.5604,,2,,123.0,,2292.0,0.44
