Country,Direction,Product,Code,Pred_Growth_XGB_%,Potential_Score,World_Growth,World_Import_Share,World_Import_Rank,Avg_Tariff,Avg_Distance_km,Concentration
BHR,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,6.148395,,6,,87.0,,6849.0,0.12
BHR,Import,"Ores, slag and ash",26,-6.7874317,,10,,23.0,,11568.0,0.65
BHR,Import,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",28,-1.5809262,,17,,34.0,,10863.0,0.74
BHR,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,3.1109493,,7,,90.0,,5522.0,0.2
BHR,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,10.600848,,8,,95.0,,6873.0,0.16
DZA,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,22.742987,,6,,58.0,,5246.0,0.18
DZA,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,44.85792,,8,,62.0,,3162.0,0.14
DZA,Import,Cereals,10,-7.6202602,,13,,17.0,,5979.0,0.13
DZA,Import,Plastics and articles thereof,39,2.3820138,,6,,52.0,,4691.0,0.13
DZA,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,21.821787,,7,,72.0,,6433.0,0.32
EGY,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",27,-8.212106,,19,,43.0,,2619.0,0.15
EGY,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,-2.593235,,6,,49.0,,5203.0,0.12
EGY,Import,Cereals,10,-9.092074,,13,,6.0,,4407.0,0.24
EGY,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,-2.8071518,,7,,54.0,,6595.0,0.27
EGY,Import,Plastics and articles thereof,39,-13.324,,6,,38.0,,4075.0,0.16
IRQ,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",27,15.392064,,19,,46.0,,1551.0,0.34
IRQ,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,7.3628955,,7,,44.0,,2646.0,0.36
IRQ,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,7.2437124,,6,,48.0,,4114.0,0.19
IRQ,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,15.5203495,,8,,45.0,,3803.0,0.25
IRQ,Import,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",71,21.304876,,10,,21.0,,1331.0,0.55
JOR,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",27,0.75213873,,19,,78.0,,2812.0,0.35
JOR,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,17.957096,,8,,72.0,,7082.0,0.19
JOR,Import,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",71,-6.520528,,10,,33.0,,4565.0,0.28
JOR,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,4.4441433,,6,,88.0,,5947.0,0.15
JOR,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,2.8784842,,7,,87.0,,6314.0,0.36
KSA,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,10.508316,,6,,29.0,,6686.0,0.13
KSA,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,17.833094,,8,,18.0,,7353.0,0.12
KSA,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,11.272551,,7,,35.0,,6671.0,0.31
KSA,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",27,5.5086293,,19,,36.0,,2404.0,0.14
KSA,Import,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",71,11.521112,,10,,17.0,,3271.0,0.38
KWT,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,16.325224,,8,,50.0,,7344.0,0.15
KWT,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",85,7.7049656,,7,,61.0,,5776.0,0.31
KWT,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,4.27032,,6,,68.0,,6222.0,0.18
KWT,Import,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",71,-1.3785784,,10,,30.0,,2093.0,0.39
KWT,Import,Pharmaceutical products,30,7.1294646,,10,,52.0,,5491.0,0.1
LBN,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",27,-3.4309478,,19,,70.0,,1610.0,0.17
