Country,Product,Code,Base_2023,F_2028,Pct_Growth_2023_2028,CAGR_2023_2028_%,Direction
BHR,"Products of animal origin, not elsewhere specified or included",5,133.0,27050.79123824682,20238.94078063671,189.51139792344512,Import
BHR,"Aircraft, spacecraft, and parts thereof",88,36467.0,1311644.2667219157,3496.797835637469,104.7308104516114,Import
BHR,Raw hides and skins (other than furskins) and leather,41,481.0,16997.119109151183,3433.7045964971276,104.00745980943826,Import
BHR,Fertilisers,31,3707.0,94612.22283972724,2452.25850660176,91.15467857833475,Import
BHR,Lead and articles thereof,78,156.0,2638.906143577575,1591.6065022933176,76.05966419232087,Import
DZA,Silk,50,1863.0,105578290948.51112,5667111598.792868,3453.6312025810935,Import
DZA,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",66,10119.0,12994151.98232787,128313.40035900651,318.52564004259204,Import
DZA,Meat and edible meat offal,2,37119.0,4340425.097067558,11593.270554345641,159.17147456626114,Import
DZA,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14,1887.0,80918.38061577854,4188.202470364523,112.05819308694296,Import
DZA,Cork and articles of cork,45,401.0,16511.74913548278,4017.6431759308675,110.3438127617065,Import
EGY,"Works of art, collectors' pieces and antiques",97,1173.0,1027783278.5059863,87619957.8436476,1443.550017852584,Import
EGY,Silk,50,92.0,17746.212132974408,19189.361014102615,186.4597234117726,Import
EGY,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",46,445.0,22255.10892768531,4901.148073637149,118.68245594784237,Import
EGY,Cork and articles of cork,45,530.0,19311.401475848685,3543.6606558205062,105.2615408030802,Import
EGY,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14,2977.0,52828.91708702543,1674.5689313747207,77.75366941599688,Import
IRQ,Arms and ammunition; parts and accessories thereof,93,15793.0,3949437.189837091,24907.517190129114,201.72695866569677,Import
IRQ,Cork and articles of cork,45,2541.0,158665.2985420663,6144.206947739721,128.6101231666486,Import
IRQ,"Aircraft, spacecraft, and parts thereof",88,216609.0,9206376.73570726,4150.228169516161,111.68127810828695,Import
IRQ,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",12,645924.0,25363299.486477755,3826.6693119434726,108.3554503746578,Import
IRQ,Photographic or cinematographic goods,37,29718.0,455406.42700867046,1432.4262299235158,72.61395977164504,Import
JOR,Other base metals; cermets; articles thereof,81,273.0,13952.767360104728,5010.903794910157,119.63398490474,Import
JOR,Tin and articles thereof,80,309.0,12135.722656025395,3827.4183352832993,108.36339864717503,Import
JOR,"Works of art, collectors' pieces and antiques",97,586.0,18071.736328125,2983.9140491680887,98.52739916614384,Import
JOR,Raw hides and skins (other than furskins) and leather,41,310.0,3622.576540320337,1068.5730775226893,63.50505170122018,Import
JOR,"Ores, slag and ash",26,1372.0,9074.5232506992,561.4084001967346,45.91298472667027,Import
