Country,Direction,Product,Code,Pred_Growth_XGB_%,World_Growth,World_Import_Rank,Avg_Distance_km,Concentration,Trade_Balance_2023,Growth_2022_2023,Growth_2019_2023
BHR,Import,"Aircraft, spacecraft, and parts thereof",88,90.50312,-3,104.0,10359.0,0.61,52925,148.0,20.0
BHR,Import,Nickel and articles thereof,75,41.218445,16,69.0,6923.0,0.19,-3722,66.0,19.0
BHR,Import,Products of the milling industry; malt; starches; inulin; wheat gluten,11,40.81159,12,120.0,2126.0,0.31,-27604,66.0,14.0
BHR,Import,"Works of art, collectors' pieces and antiques",97,33.583996,3,58.0,5847.0,0.21,-3441,51.0,24.0
BHR,Import,Knitted or crocheted fabrics,60,29.21406,4,123.0,5610.0,0.37,-3164,43.0,34.0
DZA,Import,Silk,50,2725.9463,3,59.0,5011.0,0.97,-1846,4536.0,51.0
DZA,Import,Furskins and artificial fur; manufactures thereof,43,824.4638,-17,135.0,5770.0,0.33,-22,1388.0,-61.0
DZA,Import,Meat and edible meat offal,2,176.89467,6,126.0,6843.0,0.46,-34473,304.0,-45.0
DZA,Import,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",66,149.78496,7,47.0,9017.0,0.89,-10119,284.0,-13.0
DZA,Import,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",46,97.718376,4,77.0,5611.0,0.44,-1117,167.0,-21.0
EGY,Import,"Works of art, collectors' pieces and antiques",97,553.44507,3,81.0,3432.0,0.89,-1115,1161.0,-13.0
EGY,Import,"Aircraft, spacecraft, and parts thereof",88,79.53079,-3,32.0,6335.0,0.23,-1054629,112.0,189.0
EGY,Import,Residues and waste from the food industries; prepared animal fodder,23,63.947636,11,42.0,10084.0,0.48,-478409,104.0,17.0
EGY,Import,Miscellaneous manufactured articles,96,43.139374,6,53.0,6794.0,0.6,-946,71.0,3.0
EGY,Import,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",86,42.901493,8,21.0,5425.0,0.26,-620114,61.0,79.0
IRQ,Import,Arms and ammunition; parts and accessories thereof,93,169.69342,11,58.0,4381.0,0.45,-15793,291.0,-40.0
IRQ,Import,"Products of animal origin, not elsewhere specified or included",5,137.53038,2,113.0,8530.0,0.51,-474,244.0,18.0
IRQ,Import,"Aircraft, spacecraft, and parts thereof",88,113.24264,-3,59.0,8415.0,0.58,-177985,186.0,16.0
IRQ,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",12,107.56611,13,34.0,8250.0,0.35,-624049,174.0,35.0
IRQ,Import,Cork and articles of cork,45,77.884544,5,56.0,1415.0,0.81,-2538,140.0,21.0
JOR,Import,"Ships, boats and floating structures",89,90.35337,3,140.0,9507.0,0.77,-7061,163.0,36.0
JOR,Import,Nickel and articles thereof,75,87.21703,16,88.0,5117.0,0.3,-1173,142.0,20.0
JOR,Import,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",87,26.021286,8,72.0,7082.0,0.19,-2193754,41.0,15.0
JOR,Import,"Salt; sulphur; earths and stone; plastering materials, lime and cement",25,25.742369,14,58.0,1695.0,0.48,792670,38.0,34.0
JOR,Import,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",24,20.929031,3,74.0,3803.0,0.1,-31524,32.0,15.0
